1131,Boligsameiet Sannergt 25 Utg
1132,Sameiet Neuberggaten 1
1133,Boligsameiet Kirkegårdsgata 10
1134,Sameiet Tærudparken I
1136,Sameiet Paulus Plass 5
1140,Observatorie Terrasse 15 A-B
1142,Pilestredet 38
1143,Sameiet Grefsenveien 48
1144,Boligsameiet Gregers Grams Vei
1146,Hafrsfjordsgate 37 AS
1151,Sameiet Ski Amfi I
1152,Sameiet Hammeren Terrasse
1155,Sameiet Lybekkveien 44
1156,Sameiet Lybekkveien 46
1157,Sameiet Lybekkveien 48
1158,Sameiet Lybekkveien 50
1160,Boligsameiet Ullernveien 22
1161,Sameiet Gøteborggata 6 og 8
1162,S/E Kyrre Grepps Gate 19
1163,Korpefaret Boligsameie
1164,Amalienborg Boligsameie
1165,Jegerbakken Boligsameie
1171,Sameiet Holmboesgt. 2
1181,Sameiet Kjørbokollen 19-29
1205,Askelia Borettslag
1206,S/E Brobekkveien 26-28-30 Utg
1209,Grefsenseteren Boligsameie
1210,Rudshøgda 1 Bs
1211,Tøyenbekken 1-3 Bs
1212,Ullernåsen Bs
1213,Vestlidalen Brl
1214,Østerli Boligselskap AS
1217,Lyse Terrasse Bs
1218,Rudshøgda V B/S
1219,Rudshøgda V H/L
1220,Boligsameie Bolteløkka Alle 2
1221,Breigata 19-23/Motzfeldtsgt 5
1222,Ullernparken Boligsameie
1224,A/L Ila Kvartal V BL
1225,Ullernskogen Boligsameie
1227,Norbygata 19-23 Bs
1228,Breigata 3-5-7 Bs
1229,Sameiet Tærudparken 2
1234,Løkenhavna Boligsameie
1235,Hannestad Terrasse Borettslag
1236,Boligsameiet Gg 24-26-28
1238,Holmenbakken Boligsameie
1241,Øvre Riis Bs
1243,Landerokollen Bs
1244,Sameiet Kirkeveien 69
1245,Jens Bjelkesgt 82 Sameie
1246,Boligsameie Rolvsrud Skog
1249,Boligsameiet Brekke Terrasse
1253,Skullerudhøgda IV Bs
1255,Løkkeåsen Bs
1257,Vesthellinga Boligsameie
1258,Blakstadlia Boligsameie
1260,Langteigåsen Huseierforening
1261,Majorstuløkken Brl
1262,Mortensrud Bs
1264,Norbygata 17/Motzfeldtsgt 7
1267,Ila Kv I Boligsameie
1268,Liabakken Boligsameie
1269,Rathkesgate 16 Brl A/L
1270,Kjørbokollen 31-49 Bs
1271,Kampen Terrasse Brl
1272,Sameiet Stensgaten 36B
1273,A/S Brinken
1275,Furulund III AS
1276,Solberglia Sameie
1277,AS Heibergløkka Boliglag
1278,Viken Boligsameie
1279,Nordseter Seniorboliger Brl
1280,AS Tøyenparken Boligselskap
1281,Sameiet Strømmen Park II Ba Ut
1282,Thonbygget Sameie
1301,Christian Krohgs Gate 30 Brl
1308,AS Fjellseterveien 32
1336,Es Ringvål Park - Ringvål Vest
1367,Borettslaget Sandgata 2
2504,Østre Aker Vei 33 AS
3051,Hedemarksgt 3-11
3053,Schwensens Gate 9
3055,Ulsrudveien
3056,Stallerudveien 121
3057,Othilie Tonnings Vei 8-10
3702,Sætherhagen B/S
3704,Sofienberggata 31 S/E
3705,Schweigaardsgt 48B Sameie
3706,B/S Drammensveien 61
3716,Suhmsgt 8 B/S
3902,Sameiet Tamburveien 11-15
3903,A/S Bennechesgate 1 og 3
3905,S/E Steenstrupsgate 16
3908,S/E Solegladveien 9-11
3910,S/E Odinsgate 23
3911,Sameiet Hovinvn 54
3914,Sameiet Ole Vigsgate 19
3915,B/S Gamle Madserud Alle 3
3917,Ullevålsveien 81 AS
3919,S/E Karlstadgt 4
3921,Nordstrandshøgda Boligsameie
3922,BL Tøyengata 41
3923,Grefsen Terrasse Barnehage
3925,Sameiet Danmarksgata 8
3926,B/S Jerpefaret 19
3928,S/E Schultzgt 9
3929,S/E Vålerenggata 18
3930,S/E Bolteløkka Alle 7
3933,Sporveisgata 2 S/E
3934,Thunesvei 15 S/E
3935,S/E Huitfeldsgate 31
3937,S/E Sporveisgt 12
3938,S/E Ole Fladagersgt 8
3939,S/E Fredensborgveien 70
3940,SE Ingeborgs Gate 9
